User,Condition,AttentionScore
User 52,RET,0.9358039363315356
User 52,RET,0.9273021198953638
User 52,RET,0.9418784235980335
User 52,RET,0.9459593622065696
User 52,RET,0.9348857625644217
User 52,RET,0.9351365990031443
User 52,RET,0.9285580962398771
User 52,RET,0.9307647987560111
User 52,RET,0.9343425267234512
User 52,RET,0.9434145729369029
User 52,RET,0.9310810820648456
User 52,RET,0.9224700599986373
User 52,RET,0.9357107400468575
User 52,RET,0.9224173144331022
User 52,RET,0.9284465067029519
User 52,RET,0.9426974367676704
User 52,RET,0.9392722131406367
User 54,RET,0.9323152328874554
User 54,RET,0.9043464954549767
User 54,RET,0.9031555403511312
User 54,RET,0.9241083189186242
User 54,RET,0.9139168965492861
User 54,RET,0.9384607224810874
User 54,RET,0.9172802498090662
User 54,RET,0.9237099466509632
User 54,RET,0.9126590739104524
User 54,RET,0.9377841747142547
User 54,RET,0.922677987413699
User 54,RET,0.9321877152036407
User 54,RET,0.936761430332082
User 54,RET,0.931334793476482
User 54,RET,0.9278755817043888
User 54,RET,0.9496750479903926
User 54,RET,0.9562790453620847
User 54,RET,0.8989122259157618
User 54,RET,0.9116373200789167
User 54,RET,0.9153405986998194
User 54,RET,0.9421841402087177
User 54,RET,0.9156650460800855
User 54,RET,0.925984943724238
User 54,RET,0.9628482293118716
User 54,RET,0.917562474557338
User 54,RET,0.9221088030327552
User 54,RET,0.9302030355370874
User 54,RET,0.9236214200830944
User 54,RET,0.9161061922801094
User 54,RET,0.9165082769248682
User 54,RET,0.9667847521221661
User 54,RET,0.9041817536172198
User 54,RET,0.9107612021587839
User 54,RET,0.9281007822915435
User 54,RET,0.9158202755123005
User 54,RET,0.9314346138385091
User 54,RET,0.9162383865195305
User 54,RET,0.9554078817330688
User 54,RET,0.9289185666754782
User 54,RET,0.9166910870928587
User 54,RET,0.9313711312830288
User 54,RET,0.9510950620310231
User 54,RET,0.9403139561011894
User 54,RET,0.9333790320498332
User 54,RET,0.9160235586615123
User 54,RET,0.9238041562728533
User 54,RET,0.9140059335087579
User 54,RET,0.9420189056497716
User 54,RET,0.9578897925152373
User 54,RET,0.9414914937773744
User 54,RET,0.9402054131260682
User 54,RET,0.9445528237205464
User 54,RET,0.9343802193883469
User 54,RET,0.925034193184998
User 54,RET,0.9381916824484333
User 54,RET,0.9191400776923382
User 54,RET,0.9261655026674814
User 54,RET,0.9217039547849809
User 54,RET,0.9433762829264227
User 54,RET,0.9519658182496845
User 54,RET,0.9149250380483989
User 54,RET,0.915302509741024
User 54,RET,0.9586159516355547
User 54,RET,0.9137811645873204
User 54,RET,0.9203412814027887
User 55,SHT,0.940889090779175
User 55,SHT,0.9230871069254662
User 55,SHT,0.9264113422962675
User 55,SHT,0.9043416477779624
User 55,SHT,0.9388708716370784
User 55,SHT,0.9155034268305675
User 55,SHT,0.9249466926509162
User 55,SHT,0.9308912353396831
User 55,SHT,0.9337124413239543
User 55,SHT,0.9465491298764376
User 55,SHT,0.921119511175538
User 55,SHT,0.9267693358641037
User 55,SHT,0.9280255862517496
User 55,SHT,0.9417842783560313
User 55,SHT,0.9076574746932417
User 55,SHT,0.9442477494352424
User 55,SHT,0.9479969593022778
User 55,SHT,0.900816571195818
User 55,SHT,0.9255707673324804
User 55,SHT,0.9081861315972137
User 55,SHT,0.9311265929607023
User 55,SHT,0.9279240481700496
User 55,SHT,0.9229378524256275
User 55,SHT,0.9114525065417641
User 55,SHT,0.9419053991718692
User 55,SHT,0.9465817082581456
User 55,SHT,0.9433211333653572
User 55,SHT,0.945755940404115
User 55,SHT,0.9327392646332993
User 55,SHT,0.9316860736651483
User 55,SHT,0.9425429238018954
User 55,SHT,0.9421848188469879
User 55,SHT,0.939627809963541
User 55,SHT,0.9498884279201734
User 55,SHT,0.955947228423963
User 55,SHT,0.9512268850560643
User 55,SHT,0.9513906367236312
User 55,SHT,0.9505997635937897
User 55,SHT,0.9519142541929225
User 55,SHT,0.9449375745412968
User 55,SHT,0.952015095025872
User 55,SHT,0.9587448842358888
User 55,SHT,0.9328323090535493
User 55,SHT,0.9435982927896598
User 55,SHT,0.948846696681885
User 55,SHT,0.9007062899252877
User 55,SHT,0.9231070475501079
User 55,SHT,0.921477208970412
User 55,SHT,0.9123713402309098
User 55,SHT,0.9368540593838268
User 56,RET,0.9443529228646553
User 56,RET,0.910663637484364
User 56,RET,0.9172146117794708
User 56,RET,0.92984278797548
User 56,RET,0.9107281059004648
User 56,RET,0.9055536140111764
User 56,RET,0.9230913458576281
User 56,RET,0.9405792661642548
User 56,RET,0.9005984913318996
User 56,RET,0.9216755258562037
User 56,RET,0.9051887563836389
User 56,RET,0.9161413492492776
User 56,RET,0.9027564510209647
User 56,RET,0.9445784538016078
User 56,RET,0.9273203094382296
User 56,RET,0.9259571309928114
User 56,RET,0.9351613908748885
User 56,RET,0.937125706346362
User 56,RET,0.9136435733329357
User 56,RET,0.9163105005037729
User 56,RET,0.9451716975024852
User 56,RET,0.94202434901101
User 56,RET,0.9348715561341595
User 56,RET,0.9238029700067474
User 56,RET,0.9239850477801653
User 56,RET,0.9071323755065274
User 56,RET,0.9121925443838477
User 56,RET,0.9190139926393794
User 56,RET,0.9573212790342078
User 56,RET,0.9174953243890949
User 56,RET,0.9096549182247434
User 56,RET,0.9236092614145893
User 56,RET,0.9272895694074292
User 56,RET,0.9530012190131731
User 56,RET,0.9129535732401135
User 56,RET,0.9462910246480176
User 56,RET,0.9138860406772309
User 56,RET,0.9116606659552917
User 56,RET,0.9239130316170489
User 56,RET,0.9191017350520028
User 56,RET,0.9532421617447902
User 56,RET,0.8994829186637212
User 56,RET,0.9213667255284462
User 56,RET,0.9138504136134682
User 56,RET,0.9531620681137521
User 56,RET,0.9364212927818031
User 56,RET,0.9579348652092593
User 56,RET,0.9330231481793969
User 56,RET,0.9125842787594912
User 56,RET,0.9220755854827182
User 56,RET,0.9044230249049079
User 56,RET,0.9255408783678969
User 56,RET,0.914558484516143
User 56,RET,0.920078241647095
User 56,RET,0.9138189925184057
User 56,RET,0.9139012101186712
User 56,RET,0.9376223140930706
User 56,RET,0.9119552692592253
User 56,RET,0.9067757007304175
User 56,RET,0.9108210670856443
User 56,RET,0.9244393345062301
User 56,RET,0.9175603039791225
User 56,RET,0.9063619280538866
User 56,RET,0.9176066198249461
User 56,RET,0.9102052580500959
User 58,SHT,0.9008540629958209
User 58,SHT,0.927937582844556
User 58,SHT,0.9158927367356471
User 58,SHT,0.9208248837112427
User 58,SHT,0.9226945483873586
User 58,SHT,0.9254382673380271
User 58,SHT,0.9338656012713336
User 58,SHT,0.9261109406773134
User 58,SHT,0.9170394424933457
User 58,SHT,0.9157255406270305
User 58,SHT,0.9192301479898555
User 58,SHT,0.9288558826503491
User 58,SHT,0.9293189876640042
User 58,SHT,0.9519362922918004
User 58,SHT,0.9068239641508313
User 58,SHT,0.910634916419882
User 58,SHT,0.9192330762977513
User 58,SHT,0.9177950054176974
User 58,SHT,0.9197378027754665
User 58,SHT,0.9102937961991711
User 58,SHT,0.9196001349317373
User 58,SHT,0.9393934611512589
User 58,SHT,0.9038985392526558
User 58,SHT,0.9156885391868375
User 58,SHT,0.9445244415575837
User 58,SHT,0.9306988990785814
User 58,SHT,0.9138984322143838
User 58,SHT,0.9111490662139697
User 58,SHT,0.9135139669682468
User 58,SHT,0.937367251105657
User 58,SHT,0.9275575995266235
User 58,SHT,0.9455651417319786
User 58,SHT,0.9371508197519215
User 58,SHT,0.9508111289024979
User 58,SHT,0.9078342959885876
User 58,SHT,0.9273411857792079
User 58,SHT,0.9245401623653424
User 58,SHT,0.9375196848181985
User 58,SHT,0.9316520217138767
User 58,SHT,0.9398169472238361
User 58,SHT,0.9257892345049124
User 58,SHT,0.9314645979607777
User 58,SHT,0.93476912092239
User 58,SHT,0.9310868863118067
User 58,SHT,0.942394347402137
User 58,SHT,0.9342365498793808
User 58,SHT,0.9371090045350887
User 58,SHT,0.928773733817258
User 58,SHT,0.9350125208633361
User 58,SHT,0.9519483410438443
User 58,SHT,0.9239325080497353
User 58,SHT,0.8904531087517104
User 58,SHT,0.9292599607977885
User 58,SHT,0.9447035347157404
User 58,SHT,0.937698027180932
User 58,SHT,0.9436021154532517
User 58,SHT,0.9213458940337866
User 58,SHT,0.9329164026366877
User 58,SHT,0.929604368562313
User 58,SHT,0.922403093394639
User 58,SHT,0.9420041583114883
User 58,SHT,0.9346269387674332
User 58,SHT,0.9321646056366011
User 58,SHT,0.9377045064885466
User 59,RET,0.9407231213458801
User 59,RET,0.9211807178057374
User 59,RET,0.9415534609964409
User 59,RET,0.9344450920408075
User 59,RET,0.9316465507455689
User 59,RET,0.9454845076528882
User 59,RET,0.9329533275840773
User 59,RET,0.9144094105572227
User 59,RET,0.9213536788231536
User 59,RET,0.9384586664350867
User 59,RET,0.9192783374573005
User 59,RET,0.921549924082815
User 59,RET,0.9185103146894008
User 59,RET,0.9229738278043356
User 59,RET,0.9368636329269941
User 59,RET,0.9272295748478758
User 59,RET,0.9107728997029935
User 59,RET,0.9241547610462781
User 59,RET,0.9322293530969838
User 59,RET,0.9383266011216671
User 59,RET,0.9356172871843111
